Date,Name,Text,compound,negative,neutral,positive
Fri Jun 08 14:37:52 +0000 2018,BBC Breaking News,Landmark conviction against DR Congo warlord Jean-Pierre Bemba is overturned by International Criminal Court https://t.co/4AOSFC7tTj,-0.4767,0.192,0.734,0.073
Fri Jun 08 11:31:14 +0000 2018,BBC Breaking News,"US celebrity chef and writer Anthony Bourdain found dead in French hotel room at age of 61, his employer CNN says https://t.co/Rp7XdLkAwb",-0.6486,0.17,0.83,0.0
Thu Jun 07 16:03:45 +0000 2018,BBC Breaking News,RT @BBCSport: The Premier League's executive chairman Richard Scudamore is to stand down by the end of 2018 after nearly 20 years in the ro…,0.0,0.0,1.0,0.0
Thu Jun 07 11:11:29 +0000 2018,BBC Breaking News,"Met Police investigating use of ""stay put” policy by London Fire Brigade during Grenfell Tower fire https://t.co/XyWshIu1S3",-0.5859,0.242,0.758,0.0
Thu Jun 07 11:04:17 +0000 2018,BBC Breaking News,Swedish court sentences Uzbek Rakhmat Akilov to life over murder of five people in 2017 Stockholm lorry attack https://t.co/RnMYjyvpMF,-0.8225,0.312,0.64,0.048
Thu Jun 07 08:52:10 +0000 2018,BBC Breaking News,Human rights campaigners lose UK Supreme Court appeal over legality of Northern Ireland's abortion law https://t.co/dWihoH5Emy,0.2263,0.133,0.69,0.177
Thu Jun 07 06:59:04 +0000 2018,BBC Breaking News,"Department store chain House of Fraser is to close 31 shops, including Oxford Street, affecting 6,000 jobs https://t.co/ZuVEHtV4tB",0.0,0.0,1.0,0.0
Thu Jun 07 05:05:48 +0000 2018,BBC Breaking News,"Nightclub owner Peter Stringfellow has died at the age of 77, a spokesman has said https://t.co/LxZwGQCyHl",-0.5574,0.205,0.795,0.0
Wed Jun 06 16:45:26 +0000 2018,BBC Breaking News,"After a plea from Kim Kardashian, Donald Trump agrees to free great-grandmother jailed for two decades, US media say https://t.co/qRIfx2iV27",0.2263,0.132,0.658,0.21
Tue Jun 05 21:50:03 +0000 2018,BBC Breaking News,Evacuations are ordered after a fresh blast at Guatemala's Fuego volcano sends material down the south side https://t.co/6X5GIVer41,0.3182,0.0,0.874,0.126
Tue Jun 05 16:13:18 +0000 2018,BBC Breaking News,"Fashion designer Kate Spade, 55, found dead in her New York apartment, and is reported to have taken her own life https://t.co/9UT5AlM1ff",-0.6486,0.17,0.83,0.0
Tue Jun 05 14:12:22 +0000 2018,BBC Breaking News,Disgraced film producer Harvey Weinstein pleads not guilty to rape and sexual assault charges https://t.co/PcoOyOk2rk,-0.4272,0.356,0.4,0.243
Tue Jun 05 13:25:15 +0000 2018,BBC Breaking News,"RT @BBCSport: Roma have been fined 50,000 euros (£43,632) by Uefa following crowd disturbances at the Champions League semi-final first leg…",0.25,0.097,0.766,0.137
Tue Jun 05 13:21:13 +0000 2018,BBC Breaking News,"Sky News must be sold before UK government approves 21st Century Fox's £11.7bn takeover of Sky, says Culture Secret… https://t.co/d36QIYmqrV",0.4019,0.0,0.876,0.124
Tue Jun 05 11:46:02 +0000 2018,BBC Breaking News,"""This decision has been taken based on national interest and detailed evidence""

Transport Secretary Chris Grayling… https://t.co/HtnZQNgR2I",0.4588,0.0,0.842,0.158
Mon Jun 04 14:36:00 +0000 2018,BBC Breaking News,Gay couple wedding cake: US Supreme Court rules in favour of Christian baker who refused Colorado couple's request https://t.co/Y0tyCrCnfn,0.6486,0.089,0.648,0.263
Mon Jun 04 13:21:20 +0000 2018,BBC Breaking News,Teenager found guilty of plotting terror attack on British Museum in London https://t.co/hUlY0q7ACn,-0.8519,0.482,0.518,0.0
Mon Jun 04 11:37:22 +0000 2018,BBC Breaking News,Jordan's Prime Minister Hani Mulki resigns after several days of protests against tax rises and austerity measures https://t.co/M3iIpAvwvV,-0.4939,0.208,0.792,0.0
Sun Jun 03 15:32:29 +0000 2018,BBC Breaking News,"A minute's silence falls across the UK as the victims of the #LondonBridge terror attack are remembered, one year o… https://t.co/jJPzEmXsNq",-0.8316,0.341,0.659,0.0
Sun Jun 03 15:11:15 +0000 2018,BBC Breaking News,Armed police cordon off Berlin Cathedral after an officer reportedly shot a man at the building https://t.co/DdbPH9rZVJ,0.0,0.0,1.0,0.0
Fri Jun 01 21:10:01 +0000 2018,BBC Breaking News,"Visa says cardholders should now be able to use their cards, with systems operating at ""close to normal"" levels, bl… https://t.co/tUahgaGGr0",0.0,0.0,1.0,0.0
Fri Jun 01 18:45:49 +0000 2018,BBC Breaking News,"Donald Trump's summit with Kim Jong-un on 12 June is back on, the US president says, a week after it was scrapped https://t.co/WfevC3zR8i",0.0,0.0,1.0,0.0
Fri Jun 01 15:50:48 +0000 2018,BBC Breaking News,Visa says some card payments are currently failing across the UK and elsewhere in Europe https://t.co/3IJ9nksdEc,-0.5106,0.18,0.82,0.0
Fri Jun 01 12:17:17 +0000 2018,BBC Breaking News,"Five big cats which escaped from a zoo in western Germany have been recaptured, reportedly with the help of a drone https://t.co/g32tKvh2qT",0.4019,0.0,0.876,0.124
Fri Jun 01 11:04:41 +0000 2018,BBC Breaking News,"Two lions, two tigers and a jaguar escape from a German zoo, with public warned to stay indoors, police say https://t.co/qUowA6ZZ4a",-0.1027,0.101,0.817,0.082
Fri Jun 01 09:32:42 +0000 2018,BBC Breaking News,"Spain's prime minister is forced out of his job, losing a no-confidence vote triggered by a corruption scandal https://t.co/T6sskEuPSj",-0.8176,0.378,0.622,0.0
Thu May 31 18:23:24 +0000 2018,BBC Breaking News,"Talks on summit between Trump and Kim Jong-un ""moving in the right direction"", secretary of state Mike Pompeo says https://t.co/PnxigeVi40",0.0,0.0,1.0,0.0
Thu May 31 13:45:28 +0000 2018,BBC Breaking News,"The US to put tariffs on steel and aluminium made by key allies, a move France says is ""unjustifiable and dangerous"" https://t.co/RuuMpmGgNJ",-0.4767,0.134,0.866,0.0
Thu May 31 11:13:24 +0000 2018,BBC Breaking News,"RT @BBCSport: Zinedine Zidane says he is stepping down as Real Madrid boss, just five days after leading them to a third straight Champions…",0.2263,0.0,0.921,0.079
Thu May 31 09:00:21 +0000 2018,BBC Breaking News,"Lithuania and Romania assisted CIA torture of al-Qaeda suspects, European Court of Human Rights rules https://t.co/VdnWsfigYS",-0.743,0.31,0.69,0.0
Wed May 30 14:58:51 +0000 2018,BBC Breaking News,"The moment Russian journalist Arkady Babchenko, who had been reported dead yesterday, appeared at a press conferenc… https://t.co/iHb6Rc1NCY",-0.6486,0.212,0.788,0.0
Wed May 30 14:49:30 +0000 2018,BBC Breaking News,"""Assassination"" of journalist Arkady Babchenko was ""staged to expose Russian agents"", says head of Ukraine's securi… https://t.co/SPcn5LgkRh",-0.1531,0.091,0.909,0.0
Wed May 30 14:30:55 +0000 2018,BBC Breaking News,"Russian journalist Arkady Babchenko, reportedly assassinated in Kiev on Tuesday, appears on TV alive and well https://t.co/Jq3liX4P2o",0.5719,0.0,0.761,0.239
Tue May 29 17:53:41 +0000 2018,BBC Breaking News,"""Abhorrent, repugnant"" - and cancelled. ABC drops Roseanne's show after star's racist tweet about an Obama aide https://t.co/2eutMyKysP",-0.7184,0.286,0.714,0.0
Tue May 29 14:37:23 +0000 2018,BBC Breaking News,"Hurricane Maria killed 4,600 people in Puerto Rico, 70 times the official toll - Harvard study https://t.co/3HplA9VkAB",-0.6705,0.231,0.769,0.0
Tue May 29 13:00:18 +0000 2018,BBC Breaking News,"Two police officers killed by gunman in Liège were both women, city's mayor confirms
https://t.co/WyTQaq20ss",-0.6705,0.243,0.757,0.0
Tue May 29 11:30:35 +0000 2018,BBC Breaking News,"Belgian authorities confirm they are treating the attack in Liège as terrorism 
https://t.co/d4uJcconBF",-0.8271,0.412,0.588,0.0
